actor,direction,source_available,profile_status,next_step
npc_innkeeper,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_innkeeper,down_right,false,pending,review directional fallback before calibration
npc_kael,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_kael,down_left,false,pending,review directional fallback before calibration
npc_kael,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_kael,up_left,false,pending,review directional fallback before calibration
npc_kael,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_kael,up_right,false,pending,review directional fallback before calibration
npc_kael,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_kael,down_right,false,pending,review directional fallback before calibration
npc_liora,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_liora,down_left,false,pending,review directional fallback before calibration
npc_liora,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_liora,up_left,false,pending,review directional fallback before calibration
npc_liora,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_liora,up_right,false,pending,review directional fallback before calibration
npc_liora,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_liora,down_right,false,pending,review directional fallback before calibration
npc_lyra,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_lyra,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_lyra,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_lyra,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_lyra,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_lyra,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_lyra,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_lyra,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_maera,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_maera,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_maera,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_maera,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_maera,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_maera,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_maera,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_maera,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_marla,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_marla,down_left,false,pending,review directional fallback before calibration
npc_marla,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_marla,up_left,false,pending,review directional fallback before calibration
npc_marla,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_marla,up_right,false,pending,review directional fallback before calibration
npc_marla,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_marla,down_right,false,pending,review directional fallback before calibration
npc_merchant,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_merchant,down_left,false,pending,review directional fallback before calibration
npc_merchant,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_merchant,up_left,false,pending,review directional fallback before calibration
npc_merchant,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_merchant,up_right,false,pending,review directional fallback before calibration
npc_merchant,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_merchant,down_right,false,pending,review directional fallback before calibration
npc_mira_sunwarden,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_mira_sunwarden,down_left,false,pending,review directional fallback before calibration
npc_mira_sunwarden,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_mira_sunwarden,up_left,false,pending,review directional fallback before calibration
npc_mira_sunwarden,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_mira_sunwarden,up_right,false,pending,review directional fallback before calibration
npc_mira_sunwarden,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_mira_sunwarden,down_right,false,pending,review directional fallback before calibration
npc_nyx,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_nyx,down_left,false,pending,review directional fallback before calibration
npc_nyx,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_nyx,up_left,false,pending,review directional fallback before calibration
npc_nyx,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_nyx,up_right,false,pending,review directional fallback before calibration
npc_nyx,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_nyx,down_right,false,pending,review directional fallback before calibration
npc_orin,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_orin,down_left,false,pending,review directional fallback before calibration
npc_orin,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_orin,up_left,false,pending,review directional fallback before calibration
npc_orin,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_orin,up_right,false,pending,review directional fallback before calibration
npc_orin,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_orin,down_right,false,pending,review directional fallback before calibration
npc_quartermaster,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_quartermaster,down_left,false,pending,review directional fallback before calibration
npc_quartermaster,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_quartermaster,up_left,false,pending,review directional fallback before calibration
npc_quartermaster,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_quartermaster,up_right,false,pending,review directional fallback before calibration
npc_quartermaster,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_quartermaster,down_right,false,pending,review directional fallback before calibration
npc_rafiq,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_rafiq,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_rafiq,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_rafiq,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_rafiq,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_rafiq,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_rafiq,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_rafiq,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_f,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_artisan_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_f,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_artisan_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_f,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_artisan_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_f,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_artisan_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_m,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_artisan_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_m,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_artisan_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_m,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_artisan_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_artisan_m,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_farmer_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_farmer_f,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_farmer_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_farmer_f,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_farmer_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_farmer_f,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_farmer_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_farmer_f,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_farmer_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_farmer_m,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_farmer_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_farmer_m,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_farmer_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_farmer_m,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_farmer_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_farmer_m,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_guard_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_guard_f,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_guard_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_guard_f,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_guard_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_guard_f,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_guard_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_guard_f,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_guard_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_guard_m,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_guard_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_guard_m,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_guard_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_guard_m,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_guard_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_guard_m,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_healer_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_healer_f,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_healer_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_healer_f,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_healer_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_healer_f,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_healer_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_healer_f,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_healer_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_healer_m,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_healer_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_healer_m,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_healer_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_healer_m,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_healer_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_healer_m,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_miner_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_miner_f,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_miner_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_miner_f,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_miner_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_miner_f,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_miner_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_miner_f,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_miner_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_miner_m,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_miner_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_miner_m,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_miner_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_miner_m,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_miner_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_miner_m,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_noble_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_noble_f,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_noble_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_noble_f,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_noble_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_noble_f,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_noble_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_noble_f,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_noble_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_noble_m,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_noble_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_noble_m,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_noble_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_noble_m,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_noble_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_noble_m,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_scholar_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_scholar_f,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_scholar_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_scholar_f,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_scholar_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_scholar_f,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_scholar_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_scholar_f,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_scholar_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_scholar_m,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_scholar_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_scholar_m,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_scholar_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_scholar_m,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_scholar_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_scholar_m,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_trader_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_trader_f,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_trader_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_trader_f,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_trader_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_trader_f,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_trader_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_trader_f,down_right,false,pending,review directional fallback before calibration
npc_regional_desert_trader_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_trader_m,down_left,false,pending,review directional fallback before calibration
npc_regional_desert_trader_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_trader_m,up_left,false,pending,review directional fallback before calibration
npc_regional_desert_trader_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_trader_m,up_right,false,pending,review directional fallback before calibration
npc_regional_desert_trader_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_desert_trader_m,down_right,false,pending,review directional fallback before calibration
npc_regional_highland_artisan_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_artisan_f,down_left,false,pending,review directional fallback before calibration
npc_regional_highland_artisan_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_artisan_f,up_left,false,pending,review directional fallback before calibration
npc_regional_highland_artisan_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_artisan_f,up_right,false,pending,review directional fallback before calibration
npc_regional_highland_artisan_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_artisan_f,down_right,false,pending,review directional fallback before calibration
npc_regional_highland_artisan_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_artisan_m,down_left,false,pending,review directional fallback before calibration
npc_regional_highland_artisan_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_artisan_m,up_left,false,pending,review directional fallback before calibration
npc_regional_highland_artisan_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_artisan_m,up_right,false,pending,review directional fallback before calibration
npc_regional_highland_artisan_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_artisan_m,down_right,false,pending,review directional fallback before calibration
npc_regional_highland_farmer_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_farmer_f,down_left,false,pending,review directional fallback before calibration
npc_regional_highland_farmer_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_farmer_f,up_left,false,pending,review directional fallback before calibration
npc_regional_highland_farmer_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_farmer_f,up_right,false,pending,review directional fallback before calibration
npc_regional_highland_farmer_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_farmer_f,down_right,false,pending,review directional fallback before calibration
npc_regional_highland_farmer_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_farmer_m,down_left,false,pending,review directional fallback before calibration
npc_regional_highland_farmer_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_farmer_m,up_left,false,pending,review directional fallback before calibration
npc_regional_highland_farmer_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_farmer_m,up_right,false,pending,review directional fallback before calibration
npc_regional_highland_farmer_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_farmer_m,down_right,false,pending,review directional fallback before calibration
npc_regional_highland_guard_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_guard_f,down_left,false,pending,review directional fallback before calibration
npc_regional_highland_guard_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_guard_f,up_left,false,pending,review directional fallback before calibration
npc_regional_highland_guard_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_guard_f,up_right,false,pending,review directional fallback before calibration
npc_regional_highland_guard_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_guard_f,down_right,false,pending,review directional fallback before calibration
npc_regional_highland_guard_m,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_guard_m,down_left,false,pending,review directional fallback before calibration
npc_regional_highland_guard_m,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_guard_m,up_left,false,pending,review directional fallback before calibration
npc_regional_highland_guard_m,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_guard_m,up_right,false,pending,review directional fallback before calibration
npc_regional_highland_guard_m,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_guard_m,down_right,false,pending,review directional fallback before calibration
npc_regional_highland_healer_f,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_healer_f,down_left,false,pending,review directional fallback before calibration
npc_regional_highland_healer_f,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_healer_f,up_left,false,pending,review directional fallback before calibration
npc_regional_highland_healer_f,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_healer_f,up_right,false,pending,review directional fallback before calibration
npc_regional_highland_healer_f,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_regional_highland_healer_f,down_right,false,pending,review directional fallback before calibration
