group,sha256,bytes_per_file,copies_in_group,extra_bytes_in_group,path,path_classification,disposition
DUP-0001,8ce137a18af2d98a7f35c213520d9dcd3c31af0f8dc74b1a6234ecc9a70407fd,1369410,4,4108230,Java/assets/city/buildings/city/city_building_house_wide.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0013,ffb2e3141362d8903c19ef1bfddd9c1d0ee8edd2a533d429826ba89ba866284d,1892603,2,1892603,Java/assets/source/monster-integrity-2026-09-22/goblin_king.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0014,82cae34cfc6a18bdcd7de0934a7cdeba857a47ee4c7ebe48482e6d96f101ac90,1737161,2,1737161,Java/assets/monsters/mountain_drake.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0014,82cae34cfc6a18bdcd7de0934a7cdeba857a47ee4c7ebe48482e6d96f101ac90,1737161,2,1737161,Java/assets/source/monster-integrity-2026-09-22/mountain_drake.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0015,f6ad19e5a9b776b8f73197975369d55ce64bd72aa6789338b97c691b315060cd,1652644,2,1652644,Java/assets/monsters/swamp_troll.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0015,f6ad19e5a9b776b8f73197975369d55ce64bd72aa6789338b97c691b315060cd,1652644,2,1652644,Java/assets/source/monster-integrity-2026-09-22/swamp_troll.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0016,2f5b18178b177dab10e75583861917ebd7fbf76de06ad2e7e03f25dd2bd14bbc,1581125,2,1581125,Java/assets/monsters/goblin_warlord.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0016,2f5b18178b177dab10e75583861917ebd7fbf76de06ad2e7e03f25dd2bd14bbc,1581125,2,1581125,Java/assets/source/monster-integrity-2026-09-22/goblin_warlord.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0017,f87755c9eb9b82fe179539c5e63024ff3623f7161158e9902d18bab0f9000655,1578004,2,1578004,Java/assets/companions/aria/sources/npc_aria_battle_source.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0017,f87755c9eb9b82fe179539c5e63024ff3623f7161158e9902d18bab0f9000655,1578004,2,1578004,Java/assets/companions/sources/npc_aria_battle_source.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0018,149abfa6a065c8060911eca06106c74bafa55438012c4b7b2b01c59296dd3a86,1573637,2,1573637,Java/assets/monsters/marsh_drake.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0018,149abfa6a065c8060911eca06106c74bafa55438012c4b7b2b01c59296dd3a86,1573637,2,1573637,Java/assets/source/monster-integrity-2026-09-22/marsh_drake.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0019,ae47441bf627d798a90dab2419513fbb40ad8746ac275210e149b1c60464421b,1569082,2,1569082,Java/assets/monsters/goblin_shaman.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0019,ae47441bf627d798a90dab2419513fbb40ad8746ac275210e149b1c60464421b,1569082,2,1569082,Java/assets/source/monster-integrity-2026-09-22/goblin_shaman.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0020,2ebe870bb1e48d2f3153f6a72527beba3848fa284c01ec4e008787315953faaf,1566769,2,1566769,Java/assets/monsters/elder_dragon.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0020,2ebe870bb1e48d2f3153f6a72527beba3848fa284c01ec4e008787315953faaf,1566769,2,1566769,Java/assets/source/monster-integrity-2026-09-22/elder_dragon.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0021,fc67e86cc88b0625b40095798e045071b247ce8e81aecd2d0b0ed73913d96d01,1558215,2,1558215,Java/assets/city/props/village/village_prop_well.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0021,fc67e86cc88b0625b40095798e045071b247ce8e81aecd2d0b0ed73913d96d01,1558215,2,1558215,Java/assets/source/sprite-integrity-2026-09-22/village_prop_well.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0022,97b0ad1240dc41506d995a31cae86742400c606ac2a2062b709ed58152e2737a,773709,3,1547418,Java/assets/city/walls/city_wall_sun_gate_vertical.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0022,97b0ad1240dc41506d995a31cae86742400c606ac2a2062b709ed58152e2737a,773709,3,1547418,Java/assets/city/walls/city_wall_sun_gate_vertical_clean.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0022,97b0ad1240dc41506d995a31cae86742400c606ac2a2062b709ed58152e2737a,773709,3,1547418,Java/assets/source/latest-building-integrity-2026-09-22/city_wall_sun_gate_vertical.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0023,dd068408b74e4107e94fb91d194af32d2aa492aec4ff6cf464f86436caec97ee,1505323,2,1505323,Java/assets/monsters/goblin_archer.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0023,dd068408b74e4107e94fb91d194af32d2aa492aec4ff6cf464f86436caec97ee,1505323,2,1505323,Java/assets/source/monster-integrity-2026-09-22/goblin_archer.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0024,e71d3e5d66be7381db059310b8bf0e1ab44970c3e5b6209cfef77f7de7dd6c9c,747408,3,1494816,Java/assets/monsters/animations/skeleton_attack_anim.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0024,e71d3e5d66be7381db059310b8bf0e1ab44970c3e5b6209cfef77f7de7dd6c9c,747408,3,1494816,Java/assets/source/monster-integrity-2026-09-22/skeleton_attack_anim.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0024,e71d3e5d66be7381db059310b8bf0e1ab44970c3e5b6209cfef77f7de7dd6c9c,747408,3,1494816,asset-review/2026-09-22-monsters/viewport-fixture/test_attack_anim.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0025,7dc0c15f89ae99e32dad0665e6e34eca18243c925d1ed9b3e3f084e819a9eaf1,1487361,2,1487361,Java/assets/monsters/orc_shaman.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0025,7dc0c15f89ae99e32dad0665e6e34eca18243c925d1ed9b3e3f084e819a9eaf1,1487361,2,1487361,Java/assets/source/monster-integrity-2026-09-22/orc_shaman.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0026,374fb79cf645a4e8ee8f1c4b3f1a80a61cb3742d33c2ca55412550c970b4ae0c,1471208,2,1471208,asset-review/2026-09-22-sprite-integrity/generated-unused/city_roof_detail.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0026,374fb79cf645a4e8ee8f1c4b3f1a80a61cb3742d33c2ca55412550c970b4ae0c,1471208,2,1471208,asset-review/2026-09-22-sprite-integrity/unused/Java/assets/city/buildings/city/city_roof_detail.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0027,5b3967d0b310ff48d177e88bab17a00afd1f164e13d4ff5644ce9048f5a17f44,1466010,2,1466010,Java/assets/source/monster-integrity-2026-09-22/shadow_beast.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0027,5b3967d0b310ff48d177e88bab17a00afd1f164e13d4ff5644ce9048f5a17f44,1466010,2,1466010,Java/assets/story/shadow_beast.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0028,9b3e53c195ba79e513f50c4b3f53109319e853f944d678bb0dd5aa79a61466b1,1451069,2,1451069,Java/assets/monsters/red_dragon.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0028,9b3e53c195ba79e513f50c4b3f53109319e853f944d678bb0dd5aa79a61466b1,1451069,2,1451069,Java/assets/source/monster-integrity-2026-09-22/red_dragon.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0029,8ed3b87aae9ec851a80d45bb4ce16ea3af1502e41b7f96ed8d3c94361339e3f6,1413568,2,1413568,asset-review/2026-09-22-sprite-integrity/generated-unused/city_wall_gate.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0029,8ed3b87aae9ec851a80d45bb4ce16ea3af1502e41b7f96ed8d3c94361339e3f6,1413568,2,1413568,asset-review/2026-09-22-sprite-integrity/unused/Java/assets/city/structures/city_wall_gate.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0030,9e2520fc91ee3b30e69dba4f9ac036217774843bdf63dde916568915b4812b04,1384302,2,1384302,Java/assets/monsters/goblin_trapper.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0030,9e2520fc91ee3b30e69dba4f9ac036217774843bdf63dde916568915b4812b04,1384302,2,1384302,Java/assets/source/monster-integrity-2026-09-22/goblin_trapper.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0031,83c73bf1769cb60876d7413ec770b2a7c780197f276b95a810587682de1507b2,1383384,2,1383384,Java/assets/source/imagegen-town-portal-variants-alpha.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0031,83c73bf1769cb60876d7413ec770b2a7c780197f276b95a810587682de1507b2,1383384,2,1383384,Java/assets/source/imagegen-town-portal-variants.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0032,1d84ece84035c919ab0195c13f1b6c50b7e35f0ff381642bf97957ca01cdb62d,1380963,2,1380963,Java/assets/monsters/goblin_skirmisher.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0032,1d84ece84035c919ab0195c13f1b6c50b7e35f0ff381642bf97957ca01cdb62d,1380963,2,1380963,Java/assets/source/monster-integrity-2026-09-22/goblin_skirmisher.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0033,b8c75270bfb321a604e7ab5bcfa0c6d34b222bb80639a238b680f732a0f84bb5,1368304,2,1368304,Java/assets/source/npc-refresh-2026-09-22/blacksmith_hammer.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0033,b8c75270bfb321a604e7ab5bcfa0c6d34b222bb80639a238b680f732a0f84bb5,1368304,2,1368304,asset-review/2026-09-22-npcs/masters/blacksmith_hammer.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0034,be9e3bdbebf5ff66362b04fb703b758d1c60dfd7bcf2184d56b7bcdda7e834c1,1351215,2,1351215,Java/assets/monsters/orc_berserker.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0034,be9e3bdbebf5ff66362b04fb703b758d1c60dfd7bcf2184d56b7bcdda7e834c1,1351215,2,1351215,Java/assets/source/monster-integrity-2026-09-22/orc_berserker.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0035,4cf9fca10098200f22acaa00db53138a12d8d084d4617538f02b677fa9122045,1347342,2,1347342,Java/assets/monsters/orc.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0035,4cf9fca10098200f22acaa00db53138a12d8d084d4617538f02b677fa9122045,1347342,2,1347342,Java/assets/source/monster-integrity-2026-09-22/orc.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0036,69c67e01fe9c5d24cc4962f1ed900939d3521fa9bdaa58e74c38886fb36325b9,1338614,2,1338614,Java/assets/monsters/stone_giant.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0036,69c67e01fe9c5d24cc4962f1ed900939d3521fa9bdaa58e74c38886fb36325b9,1338614,2,1338614,Java/assets/source/monster-integrity-2026-09-22/stone_giant.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0037,98521787374ddf519525b8d450dd511263a24e06edad1103b3bc47a36b43ebe2,1335000,2,1335000,Java/assets/city/walls/city_wall_sun_tower.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0037,98521787374ddf519525b8d450dd511263a24e06edad1103b3bc47a36b43ebe2,1335000,2,1335000,Java/assets/source/latest-building-integrity-2026-09-22/city_wall_sun_tower.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0038,a6f7a382c75eae5a045f3b622d09cf4923bf7170e26fc5723099fec38260b1cf,1327324,2,1327324,Java/assets/monsters/orc_raider.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0038,a6f7a382c75eae5a045f3b622d09cf4923bf7170e26fc5723099fec38260b1cf,1327324,2,1327324,Java/assets/source/monster-integrity-2026-09-22/orc_raider.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0039,5e8ddbf48c31ed9c742093adfdabef8d1ee56bdac9599ba0d506e863843d24ea,1275951,2,1275951,Java/assets/source/npc-refresh-2026-09-22/merchant_inspect.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0039,5e8ddbf48c31ed9c742093adfdabef8d1ee56bdac9599ba0d506e863843d24ea,1275951,2,1275951,asset-review/2026-09-22-npcs/masters/merchant_inspect.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0040,3a85f02f7cf9014a106903fd9a6a9d7dce31cbd9893fa350ae3bbbae1c518a88,1215863,2,1215863,Java/assets/monsters/bandit_archer.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0040,3a85f02f7cf9014a106903fd9a6a9d7dce31cbd9893fa350ae3bbbae1c518a88,1215863,2,1215863,Java/assets/source/monster-integrity-2026-09-22/bandit_archer.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0041,87f1a644b380354501af180d470c19b8dfeec7e4c9ac07b6013286d7b4794190,1211383,2,1211383,Java/assets/monsters/hobgoblin_guard.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0041,87f1a644b380354501af180d470c19b8dfeec7e4c9ac07b6013286d7b4794190,1211383,2,1211383,Java/assets/source/monster-integrity-2026-09-22/hobgoblin_guard.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0042,0633b2e7373ac6f373cb758f2b27fa389c6665bc6e7efa4a2cfc99cf58848b9e,1190222,2,1190222,Java/assets/monsters/goblin_scout.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0042,0633b2e7373ac6f373cb758f2b27fa389c6665bc6e7efa4a2cfc99cf58848b9e,1190222,2,1190222,Java/assets/source/monster-integrity-2026-09-22/goblin_scout.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0043,baabfe5b86895eaf3b7956ed0528e9b1545a47a2890922e65787b7543f4294c5,1185385,2,1185385,Java/assets/monsters/bandit_cutthroat.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0043,baabfe5b86895eaf3b7956ed0528e9b1545a47a2890922e65787b7543f4294c5,1185385,2,1185385,Java/assets/source/monster-integrity-2026-09-22/bandit_cutthroat.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0044,85ff5b371ef0cdc04b42dd58df841ec0d79dffac88717d83c7a3d9d798d84d9e,1167610,2,1167610,Java/assets/monsters/orc_shieldbearer.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0044,85ff5b371ef0cdc04b42dd58df841ec0d79dffac88717d83c7a3d9d798d84d9e,1167610,2,1167610,Java/assets/source/monster-integrity-2026-09-22/orc_shieldbearer.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0045,aa2c83793b8f22a889a774511faed50cb88734ba8af48fddb5b4ecf83b887453,1153933,2,1153933,Java/assets/monsters/ash_scorpion.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0045,aa2c83793b8f22a889a774511faed50cb88734ba8af48fddb5b4ecf83b887453,1153933,2,1153933,Java/assets/source/monster-integrity-2026-09-22/ash_scorpion.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0046,9693d90110c5a22513bcf0eddcbe18672d260d7451418cb6a6b7966f2820928e,1128701,2,1128701,Java/assets/monsters/bandit_captain.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0046,9693d90110c5a22513bcf0eddcbe18672d260d7451418cb6a6b7966f2820928e,1128701,2,1128701,Java/assets/source/monster-integrity-2026-09-22/bandit_captain.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0047,db99d5d220b26a372cf42cf70eeb53a1c66ee8ff5beefed94f99f52c4057ea59,1101623,2,1101623,Java/assets/monsters/bat.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0047,db99d5d220b26a372cf42cf70eeb53a1c66ee8ff5beefed94f99f52c4057ea59,1101623,2,1101623,Java/assets/source/monster-integrity-2026-09-22/bat.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0048,5d30d59afd5ad82f0dd942f08abaf24a7d19c6a60760a1740155347ec137a268,999415,2,999415,asset-review/2026-09-22-sprite-integrity/generated-unused/city_prop_source_crate_tall.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0048,5d30d59afd5ad82f0dd942f08abaf24a7d19c6a60760a1740155347ec137a268,999415,2,999415,asset-review/2026-09-22-sprite-integrity/unused/Java/assets/city/props/city/city_prop_source_crate_tall.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0049,addf537e90b6a711df96a215dab1c55a0c241e242cd0187bf51e48a46f614325,991168,2,991168,Java/assets/monsters/goblin.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0049,addf537e90b6a711df96a215dab1c55a0c241e242cd0187bf51e48a46f614325,991168,2,991168,Java/assets/source/monster-integrity-2026-09-22/goblin.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0050,2660feb1450c6059d67498ae5aa2d8b5f7c337cc649158bf0f0a8828fa9ea214,980152,2,980152,Java/assets/monsters/crypt_bat.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0050,2660feb1450c6059d67498ae5aa2d8b5f7c337cc649158bf0f0a8828fa9ea214,980152,2,980152,Java/assets/source/monster-integrity-2026-09-22/crypt_bat.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0051,af0296f7f8f0c9ddda32ce0bcc2f2e6e81e1996e9f1d7b65854d7dca92864456,861668,2,861668,Java/assets/city/walls/city_wall_fen_gate_vertical.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0051,af0296f7f8f0c9ddda32ce0bcc2f2e6e81e1996e9f1d7b65854d7dca92864456,861668,2,861668,Java/assets/source/latest-building-integrity-2026-09-22/city_wall_fen_gate_vertical.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0052,bc5768c6603249f1107b92f44d3ceadb84a6acc2aaff8cf0db613f2e9d0927da,856275,2,856275,Java/assets/city/walls/city_wall_sun_end_tower.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0052,bc5768c6603249f1107b92f44d3ceadb84a6acc2aaff8cf0db613f2e9d0927da,856275,2,856275,Java/assets/source/latest-building-integrity-2026-09-22/city_wall_sun_end_tower.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0053,c47b52ebe3c0fa08c48265cffe5c1ce3b65ed03cd105a9a7782e40d739ecb010,850526,2,850526,Java/assets/city/props/city/city_prop_barrel_stack.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0053,c47b52ebe3c0fa08c48265cffe5c1ce3b65ed03cd105a9a7782e40d739ecb010,850526,2,850526,Java/assets/source/sprite-integrity-2026-09-22/city_prop_barrel_stack.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0054,50032bfe9fc424d85afcac20efd500e08be4ec90c20dc6a07a88748b3faa8a0b,836868,2,836868,Java/assets/city/walls/city_wall_freeholds_gate_vertical.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0054,50032bfe9fc424d85afcac20efd500e08be4ec90c20dc6a07a88748b3faa8a0b,836868,2,836868,Java/assets/source/latest-building-integrity-2026-09-22/city_wall_freeholds_gate_vertical.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0055,4e02cdb60ed7df5073e03000a57db0720742650eef8697148b7ce322f905bbe7,802941,2,802941,Java/assets/city/walls/city_wall_north_gate_vertical.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0055,4e02cdb60ed7df5073e03000a57db0720742650eef8697148b7ce322f905bbe7,802941,2,802941,Java/assets/source/latest-building-integrity-2026-09-22/city_wall_north_gate_vertical.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0056,3bd7e6279e7907afd4082c100e529d061bacb3e082b6b11391f055a2323d0875,395742,3,791484,Java/assets/player/classes/knight/animations/class_knight_model_up_left_walk_anim.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0056,3bd7e6279e7907afd4082c100e529d061bacb3e082b6b11391f055a2323d0875,395742,3,791484,Java/assets/player/classes/knight/animations/class_knight_model_up_right_walk_anim.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0056,3bd7e6279e7907afd4082c100e529d061bacb3e082b6b11391f055a2323d0875,395742,3,791484,Java/assets/player/classes/knight/animations/class_knight_model_up_walk_anim.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0057,2c866421775cc4b72f687ee11a5d7d2ba67cb274df84eaab4c5b57776007915e,395291,3,790582,Java/assets/player/classes/cleric/animations/class_cleric_model_up_left_walk_anim.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
