monster	sprite	ability	gameplay_effect	vfx	motion
elder_dragon	elder_dragon	Commanding Presence	ward	fx_shield	SELF
elder_dragon	elder_dragon	Wing Tyranny	fire	fx_fire	PROJECTILE
elder_dragon	elder_dragon	Worldfire Breath	fire	fx_fire	PROJECTILE
ember_imp	ember_imp	Spark Spit	fire	fx_fire	PROJECTILE
ember_imp	ember_imp	Kindle Hide	fire	fx_ember	SELF
ember_tortoise	ember_tortoise	Coal Snap	fire	fx_fire	PROJECTILE
ember_tortoise	ember_tortoise	Basalt Shell	ward	fx_shield	SELF
fire_giant	fire_giant	Cinder Maul	fire	fx_fire	MELEE
fire_giant	fire_giant	Heat Shimmer	fire	fx_ember	SELF
sareth_cinder_knife	flame_herald	Boss Pressure	fire	fx_fire	PROJECTILE
sareth_cinder_knife	flame_herald	Commanding Presence	ward	fx_shield	SELF
sareth_cinder_knife	flame_herald	Phase Break	fire	fx_fire	PROJECTILE
sareth_cinder_knife	flame_herald	Final Edict	fire	fx_fire	PROJECTILE
frost_troll	frost_troll	Ice Maul	frost	fx_frost	MELEE
frost_troll	frost_troll	Cold Hide	ward	fx_frost	SELF
frost_wolf	frost_wolf	Rime Bite	frost	fx_frost	MELEE
frost_wolf	frost_wolf	White Hide	frost	fx_frost	SELF
glass_scorpion	glass_scorpion	Glass Sting	poison	fx_poison	MELEE
glass_scorpion	glass_scorpion	Mirror Carapace	ward	fx_shield	SELF
goblin	goblin	Dirty Trick	dust	fx_dust	PROJECTILE
goblin_archer	goblin_archer	Barbed Arrow	pierce	fx_piercing_shot_unique	PROJECTILE
goblin_archer	goblin_archer	Duck Away	dust	fx_smoke_veil_unique	SELF
goblin_king	goblin_king	Crownbreaker	cleave	fx_cleave	MELEE
goblin_king	goblin_king	Royal Spite	dust	fx_dust	PROJECTILE
goblin_king	goblin_king	Stolen Standard	ward	fx_heal	SELF
goblin_king	goblin_king	Boss Pressure	cleave	fx_cleave	MELEE
goblin_king	goblin_king	Commanding Presence	ward	fx_shield	SELF
goblin_king	goblin_king	Royal Decree	cleave	fx_cleave	MELEE
goblin_king	goblin_king	Stolen Crown	cleave	fx_cleave	MELEE
goblin_scout	goblin_scout	Knife Feint	slash	fx_slash	MELEE
goblin_shaman	goblin_shaman	Hex Pebble	shadow	fx_shadow	PROJECTILE
goblin_shaman	goblin_shaman	Campfire Charm	fire	fx_heal	SELF
goblin_skirmisher	goblin_skirmisher	Flanking Cut	slash	fx_slash	MELEE
goblin_skirmisher	goblin_skirmisher	Quick Step	dust	fx_smoke_veil_unique	SELF
goblin_trapper	goblin_trapper	Snare Cord	web	fx_web	PROJECTILE
goblin_trapper	goblin_trapper	Barbed Hook	pierce	fx_arrow	MELEE
goblin_warlord	goblin_warlord	Commanding Chop	cleave	fx_cleave	MELEE
goblin_warlord	goblin_warlord	War Banner	ward	fx_shield	SELF
hill_giant	hill_giant	Treeclub Smash	cleave	fx_impact	MELEE
hobgoblin_guard	hobgoblin_guard	Shield Slam	shield	fx_shield_ram_unique	MELEE
hobgoblin_guard	hobgoblin_guard	Hold Line	ward	fx_shield	SELF
ice_golem	ice_golem	Glacier Slam	frost	fx_frost	MELEE
ice_golem	ice_golem	Icebound Shell	ward	fx_frost	SELF
marsh_drake	marsh_drake	Bog Breath	acid	fx_poison	PROJECTILE
rootmaw_stag	moss_stag	Antler Rush	fang	fx_claw	MELEE
rootmaw_stag	moss_stag	Green Renewal	ward	fx_heal	SELF
moss_stag	moss_stag	Antler Rush	fang	fx_claw	MELEE
moss_stag	moss_stag	Green Renewal	ward	fx_heal	SELF
mountain_drake	mountain_drake	Crag Bite	cleave	fx_claw	MELEE
mountain_drake	mountain_drake	Ridge Guard	ward	fx_shield	SELF
mountain_goat	mountain_goat	Cliff Bash	impact	fx_impact	MELEE
mountain_goat	mountain_goat	Surefoot Brace	ward	fx_shield	SELF
orc_champion	orc	Champion's Break	cleave	fx_cleave	MELEE
orc_champion	orc	Blood Roar	ward	fx_shield	SELF
orc	orc	Brutal Cleave	cleave	fx_cleave	MELEE
orc_berserker	orc_berserker	Frenzy Hew	cleave	fx_cleave	MELEE
orc_berserker	orc_berserker	Blood Heat	ward	fx_shield	SELF
gate_ash_raider	orc_raider	Raider Chop	cleave	fx_cleave	MELEE
orc_raider	orc_raider	Raider Chop	cleave	fx_cleave	MELEE
orc_shaman	orc_shaman	Rot Hex	shadow	fx_shadow	PROJECTILE
orc_shaman	orc_shaman	War Smoke	dust	fx_smoke_veil_unique	SELF
orc_shieldbearer	orc_shieldbearer	Shield Hook	shield	fx_shield_ram_unique	MELEE
orc_shieldbearer	orc_shieldbearer	Brace Wall	ward	fx_shield	SELF
red_dragon	red_dragon	Flame Bite	fire	fx_fire	MELEE
red_dragon	red_dragon	Wing Buffet	dust	fx_dust	PROJECTILE
red_dragon	red_dragon	Boss Pressure	fire	fx_fire	PROJECTILE
red_dragon	red_dragon	Commanding Presence	ward	fx_shield	SELF
red_dragon	red_dragon	Wing Tyranny	fire	fx_fire	PROJECTILE
red_dragon	red_dragon	Worldfire Breath	fire	fx_fire	PROJECTILE
reed_serpent	reed_serpent	Reed Coil	acid	fx_poison	MELEE
river_eel	river_eel	Current Lash	acid	fx_water_jet_unique	PROJECTILE
river_eel	river_eel	Numbing Coil	sonic	fx_lightning	MELEE
sand_stalker	sand_stalker	Sand Veil	dust	fx_dust	PROJECTILE
sand_stalker	sand_stalker	Burrow Strike	fang	fx_claw	MELEE
shadow_beast	shadow_beast	Boss Pressure	shadow	fx_shadow	PROJECTILE
shadow_beast	shadow_beast	Commanding Presence	ward	fx_shield	SELF
shadow_beast	shadow_beast	Phase Break	shadow	fx_shadow	PROJECTILE
shadow_beast	shadow_beast	Final Edict	shadow	fx_shadow	PROJECTILE
velmora_bell_drowned	shadow_beast	Boss Pressure	shadow	fx_shadow	PROJECTILE
velmora_bell_drowned	shadow_beast	Commanding Presence	ward	fx_shield	SELF
velmora_bell_drowned	shadow_beast	Phase Break	shadow	fx_shadow	PROJECTILE
velmora_bell_drowned	shadow_beast	Final Edict	shadow	fx_shadow	PROJECTILE
sheep	sheep	Panic Kick	impact	fx_impact	MELEE
sheep	sheep	Fleece Guard	ward	fx_shield	SELF
bone_knight	skeleton	Grave Cleave	bone	fx_bone	PROJECTILE
bone_knight	skeleton	Oath of Dust	ward	fx_shield	SELF
skeleton	skeleton	Bone Rattle	bone	fx_bone	PROJECTILE
skeleton	skeleton	Grave Guard	ward	fx_shield	SELF
slime	slime	Slime Splash	acid	fx_poison	PROJECTILE
slime	slime	Split Skin	acid	fx_heal	SELF
snow_lynx	snow_lynx	Whiteout Pounce	frost	fx_frost	MELEE
spider	spider	Web Spit	web	fx_web	PROJECTILE
hailback_broodmother	spider	Web Spit	web	fx_web	PROJECTILE
stag	stag	Crown Rush	fang	fx_claw	MELEE
stag	stag	Proud Stand	ward	fx_shield	SELF
stone_giant	stone_giant	Boulder Fist	cleave	fx_impact	MELEE
stone_giant	stone_giant	Stonehide	ward	fx_stone_guard_unique	SELF
stoneback_goat	stoneback_goat	Stone Horn	cleave	fx_impact	MELEE
swamp_troll	swamp_troll	Fen Club	acid	fx_poison	MELEE
swamp_troll	swamp_troll	Muck Renewal	ward	fx_heal	SELF
thornling	thornling	Briar Lash	thorn	fx_thorn	PROJECTILE
thornling	thornling	Rootskin	ward	fx_heal	SELF
morvane_mercy_taker	void_knight	Boss Pressure	shadow	fx_shadow	PROJECTILE
morvane_mercy_taker	void_knight	Commanding Presence	ward	fx_shield	SELF
morvane_mercy_taker	void_knight	Phase Break	shadow	fx_shadow	PROJECTILE
morvane_mercy_taker	void_knight	Final Edict	shadow	fx_shadow	PROJECTILE
red_notary	void_knight	Boss Pressure	shadow	fx_shadow	PROJECTILE
red_notary	void_knight	Commanding Presence	ward	fx_shield	SELF
red_notary	void_knight	Phase Break	shadow	fx_shadow	PROJECTILE
red_notary	void_knight	Final Edict	shadow	fx_shadow	PROJECTILE
kharvok_banner_bound	void_knight	Boss Pressure	cleave	fx_cleave	MELEE
kharvok_banner_bound	void_knight	Commanding Presence	ward	fx_shield	SELF
kharvok_banner_bound	void_knight	Phase Break	cleave	fx_cleave	MELEE
kharvok_banner_bound	void_knight	Final Edict	cleave	fx_cleave	MELEE
void_knight	void_knight	Boss Pressure	shadow	fx_shadow	PROJECTILE
void_knight	void_knight	Commanding Presence	ward	fx_shield	SELF
void_knight	void_knight	Phase Break	shadow	fx_shadow	PROJECTILE
void_knight	void_knight	Final Edict	shadow	fx_shadow	PROJECTILE
meadow_wolf	wolf	Pack Snap	fang	fx_claw	MELEE
meadow_wolf	wolf	Low Circle	dust	fx_smoke_veil_unique	SELF
wolf	wolf	Hamstring Bite	fang	fx_claw	MELEE
wolf	wolf	Pack Howl	sonic	fx_sonic	SELF
elder_wraith	wraith	Hollow Crown	shadow	fx_shadow	PROJECTILE
elder_wraith	wraith	Grave Tide	frost	fx_frost	PROJECTILE
elder_wraith	wraith	Unquiet Veil	ward	fx_heal	SELF
oathbreaker_echo	wraith	Ashen Hex	shadow	fx_shadow	PROJECTILE
wraith	wraith	Ashen Hex	shadow	fx_shadow	PROJECTILE
starless_witness	wraith	Ashen Hex	shadow	fx_shadow	PROJECTILE
crypt_revenant	wraith	Lantern Hex	shadow	fx_shadow	PROJECTILE
crypt_revenant	wraith	Cold Return	frost	fx_heal	SELF
inkbound_scholar	wraith	Ashen Hex	shadow	fx_shadow	PROJECTILE
